"Bundesland" "Von" "Bis"
"Aargau" "08.04." "23.04."
"Aargau" "22.07." "13.08."
"Aargau" "30.09." "15.10."
"Aargau" "23.12." "07.01."
"Appenzell Ausserrhoden" "28.01." "05.02."
"Appenzell Ausserrhoden" "08.04." "23.04."
"Appenzell Ausserrhoden" "08.07." "13.08."
"Appenzell Ausserrhoden" "30.09." "22.10."
"Appenzell Ausserrhoden" "23.12." "03.01."
"Appenzell Innerrhoden" "24.02." "05.03."
"Appenzell Innerrhoden" "08.04." "23.04."
"Appenzell Innerrhoden" "01.07." "13.08."
"Appenzell Innerrhoden" "07.10." "22.10."
"Appenzell Innerrhoden" "23.12." "07.01."
"Basel-Land" "25.02." "12.03."
"Basel-Land" "08.04." "23.04."
"Basel-Land" "01.07." "13.08."
"Basel-Land" "30.09." "15.10."
"Basel-Land" "23.12." "03.01."
"Basel-Stadt" "25.02." "12.03."
"Basel-Stadt" "13.04." "23.04."
"Basel-Stadt" "01.07." "13.08."
"Basel-Stadt" "30.09." "15.10."
"Basel-Stadt" "23.12." "02.01."
"Glarus" "28.01." "05.02."
"Glarus" "06.04." "23.04."
"Glarus" "01.07." "13.08."
"Glarus" "07.10." "22.10."
"Glarus" "23.12." "07.01."
"Luzern" "18.02." "05.03."
"Luzern" "14.04." "30.04."
"Luzern" "08.07." "20.08."
"Luzern" "30.09." "15.10."
"Luzern" "23.12." "07.01."
"Sankt Gallen" "09.04." "23.04."
"Sankt Gallen" "09.07." "13.08."
"Sankt Gallen" "01.10." "22.10."
"Sankt Gallen" "24.12." "07.01."
"Schaffhausen" "28.01." "12.02."
"Schaffhausen" "15.04." "30.04."
"Schaffhausen" "08.07." "13.08."
"Schaffhausen" "30.09." "22.10."
"Schaffhausen" "23.12." "02.01."
"Thurgau" "28.01." "05.02."
"Thurgau" "01.04." "17.04."
"Thurgau" "08.07." "13.08."
"Thurgau" "07.10." "22.10."
"Thurgau" "23.12." "07.01."
"Uri" "18.02." "05.03."
"Uri" "29.04." "14.05."
"Uri" "01.07." "20.08."
"Uri" "07.10." "22.10."
"Uri" "23.12." "07.01."
"Zürich" "15.04." "30.04."
"Zürich" "15.07." "20.08."
"Zürich" "07.10." "22.10."
"Zürich" "23.12." "07.01."
"Zug" "04.02." "19.02."
"Zug" "15.04." "30.04."
"Zug" "08.07." "20.08."
"Zug" "07.10." "22.10."
"Zug" "23.12." "07.01."
