"Bundesland" "Von" "Bis"
"Baden-Württemberg" "30.03." "10.04."
"Baden-Württemberg" "26.05." "06.06."
"Baden-Württemberg" "30.07." "12.09."
"Baden-Württemberg" "02.11." "06.11."
"Baden-Württemberg" "23.12." "09.01."
"Bayern" "16.02." "20.02."
"Bayern" "30.03." "11.04."
"Bayern" "26.05." "05.06."
"Bayern" "01.08." "14.09."
"Bayern" "18.11." "18.11."
"Bayern" "24.12." "05.01."
"Berlin" "02.02." "07.02."
"Berlin" "30.03." "11.04."
"Berlin" "16.07." "28.08."
"Berlin" "19.10." "31.10."
"Berlin" "23.12." "02.01."
"Brandenburg" "02.02." "07.02."
"Brandenburg" "01.04." "11.04."
"Brandenburg" "15.05." "15.05."
"Brandenburg" "16.07." "28.08."
"Brandenburg" "19.10." "30.10."
"Brandenburg" "23.12." "02.01."
"Bremen" "02.02." "03.02."
"Bremen" "25.03." "10.04."
"Bremen" "23.07." "02.09."
"Bremen" "19.10." "31.10."
"Bremen" "23.12." "06.01."
"Hamburg" "30.01." "30.01."
"Hamburg" "02.03." "13.03."
"Hamburg" "11.05." "15.05."
"Hamburg" "16.07." "26.08."
"Hamburg" "19.10." "30.10."
"Hamburg" "21.12." "01.01."
"Hessen" "30.03." "11.04."
"Hessen" "27.07." "04.09."
"Hessen" "19.10." "31.10."
"Hessen" "23.12." "09.01."
"Mecklenburg-Vorpommern" "02.02." "14.02."
"Mecklenburg-Vorpommern" "30.03." "08.04."
"Mecklenburg-Vorpommern" "22.05." "26.05."
"Mecklenburg-Vorpommern" "20.07." "29.08."
"Mecklenburg-Vorpommern" "24.10." "30.10."
"Mecklenburg-Vorpommern" "21.12." "02.01."
"Niedersachsen" "02.02." "03.02."
"Niedersachsen" "25.03." "10.04."
"Niedersachsen" "23.07." "02.09."
"Niedersachsen" "19.10." "31.10."
"Niedersachsen" "23.12." "06.01."
"Nordrhein-Westfalen" "30.03." "11.04."
"Nordrhein-Westfalen" "26.05." "26.05."
"Nordrhein-Westfalen" "29.06." "11.08."
"Nordrhein-Westfalen" "05.10." "17.10."
"Nordrhein-Westfalen" "23.12." "06.01."
"Rheinland-Pfalz" "26.03." "10.04."
"Rheinland-Pfalz" "27.07." "04.09."
"Rheinland-Pfalz" "19.10." "30.10."
"Rheinland-Pfalz" "23.12." "08.01."
"Saarland" "16.02." "21.02."
"Saarland" "30.03." "11.04."
"Saarland" "27.07." "05.09."
"Saarland" "19.10." "31.10."
"Saarland" "21.12." "02.01."
"Sachsen" "09.02." "21.02."
"Sachsen" "02.04." "11.04."
"Sachsen" "15.05." "15.05."
"Sachsen" "13.07." "21.08."
"Sachsen" "12.10." "24.10."
"Sachsen" "21.12." "02.01."
"Sachsen-Anhalt" "02.02." "14.02."
"Sachsen-Anhalt" "02.04." "02.04."
"Sachsen-Anhalt" "15.05." "23.05."
"Sachsen-Anhalt" "13.07." "26.08."
"Sachsen-Anhalt" "17.10." "24.10."
"Sachsen-Anhalt" "21.12." "05.01."
"Schleswig-Holstein" "01.04." "17.04."
"Schleswig-Holstein" "15.05." "15.05."
"Schleswig-Holstein" "20.07." "29.08."
"Schleswig-Holstein" "19.10." "31.10."
"Schleswig-Holstein" "21.12." "06.01."
"Thüringen" "02.02." "07.02."
"Thüringen" "30.03." "11.04."
"Thüringen" "15.05." "15.05."
"Thüringen" "13.07." "21.08."
"Thüringen" "05.10." "17.10."
"Thüringen" "23.12." "02.01."
