"Bundesland" "Von" "Bis"
"Aargau" "13.04." "28.04."
"Aargau" "20.07." "11.08."
"Aargau" "28.09." "13.10."
"Aargau" "23.12." "05.01."
"Appenzell Ausserrhoden" "06.04." "21.04."
"Appenzell Ausserrhoden" "06.07." "11.08."
"Appenzell Ausserrhoden" "05.10." "20.10."
"Appenzell Ausserrhoden" "24.12." "05.01."
"Appenzell Innerrhoden" "08.02." "17.02."
"Appenzell Innerrhoden" "06.04." "21.04."
"Appenzell Innerrhoden" "06.07." "18.08."
"Appenzell Innerrhoden" "05.10." "20.10."
"Appenzell Innerrhoden" "21.12." "05.01."
"Basel-Land" "09.02." "24.02."
"Basel-Land" "23.03." "07.04."
"Basel-Land" "29.06." "11.08."
"Basel-Land" "28.09." "13.10."
"Basel-Land" "21.12." "05.01."
"Basel-Stadt" "09.02." "23.02."
"Basel-Stadt" "28.03." "07.04."
"Basel-Stadt" "29.06." "11.08."
"Basel-Stadt" "28.09." "13.10."
"Basel-Stadt" "21.12." "05.01."
"Glarus" "26.01." "03.02."
"Glarus" "29.03." "14.04."
"Glarus" "29.06." "11.08."
"Glarus" "05.10." "20.10."
"Glarus" "21.12." "05.01."
"Luzern" "02.02." "17.02."
"Luzern" "29.03." "14.04."
"Luzern" "06.07." "18.08."
"Luzern" "28.09." "13.10."
"Luzern" "21.12." "05.01."
"Sankt Gallen" "07.04." "21.04."
"Sankt Gallen" "07.07." "11.08."
"Sankt Gallen" "29.09." "20.10."
"Sankt Gallen" "21.12." "05.01."
"Schaffhausen" "26.01." "09.02."
"Schaffhausen" "13.04." "27.04."
"Schaffhausen" "06.07." "11.08."
"Schaffhausen" "30.09." "18.10."
"Solothurn" "02.02." "17.02."
"Solothurn" "06.04." "21.04."
"Solothurn" "06.07." "11.08."
"Solothurn" "30.09." "20.10."
"Solothurn" "23.12." "05.01."
"Thurgau" "28.01." "03.02."
"Thurgau" "29.03." "14.04."
"Thurgau" "08.07." "11.08."
"Thurgau" "07.10." "20.10."
"Thurgau" "23.12." "05.01."
"Uri" "02.02." "12.02."
"Uri" "29.03." "14.04."
"Uri" "06.07." "18.08."
"Uri" "05.10." "20.10."
"Uri" "21.12." "06.01."
"Zürich" "11.02." "23.02."
"Zürich" "22.04." "04.05."
"Zürich" "15.07." "17.08."
"Zürich" "07.10." "19.10."
"Zürich" "23.12." "04.01."
"Zug" "02.02." "17.02."
"Zug" "13.04." "28.04."
"Zug" "06.07." "18.08."
"Zug" "05.10." "20.10."
"Zug" "21.12." "05.01."
