"Bundesland" "Von" "Bis"
"Baden-Württemberg" "14.04." "25.04."
"Baden-Württemberg" "10.06." "21.06."
"Baden-Württemberg" "31.07." "13.09."
"Baden-Württemberg" "27.10." "31.10."
"Baden-Württemberg" "22.12." "05.01."
"Bayern" "03.03." "07.03."
"Bayern" "14.04." "26.04."
"Bayern" "10.06." "21.06."
"Bayern" "30.07." "15.09."
"Bayern" "19.11." "19.11."
"Bayern" "24.12." "05.01."
"Berlin" "03.02." "08.02."
"Berlin" "02.05." "02.05."
"Berlin" "30.05." "30.05."
"Berlin" "09.07." "22.08."
"Berlin" "20.10." "01.11."
"Berlin" "22.12." "02.01."
"Brandenburg" "03.02." "08.02."
"Brandenburg" "02.05." "02.05."
"Brandenburg" "30.05." "30.05."
"Brandenburg" "10.07." "22.08."
"Brandenburg" "20.10." "01.11."
"Brandenburg" "22.12." "02.01."
"Bremen" "30.01." "31.01."
"Bremen" "02.05." "02.05."
"Bremen" "31.07." "10.09."
"Bremen" "27.10." "08.11."
"Bremen" "22.12." "05.01."
"Hamburg" "31.01." "31.01."
"Hamburg" "03.03." "14.03."
"Hamburg" "30.05." "30.05."
"Hamburg" "10.07." "20.08."
"Hamburg" "13.10." "24.10."
"Hamburg" "22.12." "06.01."
"Hessen" "14.04." "26.04."
"Hessen" "28.07." "05.09."
"Hessen" "20.10." "01.11."
"Hessen" "22.12." "10.01."
"Mecklenburg-Vorpommern" "03.02." "15.02."
"Mecklenburg-Vorpommern" "14.04." "23.04."
"Mecklenburg-Vorpommern" "06.06." "10.06."
"Mecklenburg-Vorpommern" "14.07." "23.08."
"Mecklenburg-Vorpommern" "20.10." "25.10."
"Mecklenburg-Vorpommern" "22.12." "02.01."
"Niedersachsen" "30.01." "31.01."
"Niedersachsen" "02.05." "02.05."
"Niedersachsen" "31.07." "10.09."
"Niedersachsen" "27.10." "08.11."
"Niedersachsen" "22.12." "05.01."
"Nordrhein-Westfalen" "14.04." "26.04."
"Nordrhein-Westfalen" "10.06." "10.06."
"Nordrhein-Westfalen" "07.07." "19.08."
"Nordrhein-Westfalen" "06.10." "18.10."
"Nordrhein-Westfalen" "22.12." "06.01."
"Rheinland-Pfalz" "11.04." "25.04."
"Rheinland-Pfalz" "28.07." "05.09."
"Rheinland-Pfalz" "20.10." "31.10."
"Rheinland-Pfalz" "22.12." "07.01."
"Saarland" "03.03." "08.03."
"Saarland" "14.04." "26.04."
"Saarland" "28.07." "06.09."
"Saarland" "20.10." "31.10."
"Saarland" "22.12." "07.01."
"Sachsen" "17.02." "01.03."
"Sachsen" "18.04." "26.04."
"Sachsen" "30.05." "30.05."
"Sachsen" "21.07." "29.08."
"Sachsen" "20.10." "31.10."
"Sachsen" "22.12." "03.01."
"Sachsen-Anhalt" "01.02." "12.02."
"Sachsen-Anhalt" "14.04." "17.04."
"Sachsen-Anhalt" "30.05." "07.06."
"Sachsen-Anhalt" "21.07." "03.09."
"Sachsen-Anhalt" "27.10." "30.10."
"Sachsen-Anhalt" "22.12." "05.01."
"Schleswig-Holstein" "16.04." "02.05."
"Schleswig-Holstein" "30.05." "30.05."
"Schleswig-Holstein" "14.07." "23.08."
"Schleswig-Holstein" "13.10." "25.10."
"Schleswig-Holstein" "22.12." "06.01."
"Thüringen" "17.02." "22.02."
"Thüringen" "19.04." "02.05."
"Thüringen" "30.05." "30.05."
"Thüringen" "21.07." "29.08."
"Thüringen" "06.10." "18.10."
"Thüringen" "22.12." "03.01."
