"Bundesland" "Von" "Bis"
"Baden-Württemberg" "29.03." "02.04."
"Baden-Württemberg" "17.05." "28.05."
"Baden-Württemberg" "28.07." "10.09."
"Baden-Württemberg" "02.11." "04.11."
"Baden-Württemberg" "23.12." "07.01."
"Bayern" "08.02." "12.02."
"Bayern" "21.03." "01.04."
"Bayern" "17.05." "28.05."
"Bayern" "30.07." "12.09."
"Bayern" "16.11." "16.11."
"Bayern" "24.12." "05.01."
"Berlin" "01.02." "06.02."
"Berlin" "21.03." "02.04."
"Berlin" "18.05." "18.05."
"Berlin" "21.07." "02.09."
"Berlin" "17.10." "28.10."
"Berlin" "23.12." "03.01."
"Brandenburg" "01.02." "06.02."
"Brandenburg" "23.03." "02.04."
"Brandenburg" "21.07." "03.09."
"Brandenburg" "17.10." "28.10."
"Brandenburg" "23.12." "03.01."
"Bremen" "28.01." "29.01."
"Bremen" "18.03." "02.04."
"Bremen" "23.06." "03.08."
"Bremen" "04.10." "15.10."
"Bremen" "21.12." "06.01."
"Hamburg" "29.01." "29.01."
"Hamburg" "07.03." "18.03."
"Hamburg" "17.05." "20.05."
"Hamburg" "21.07." "31.08."
"Hamburg" "17.10." "28.10."
"Hamburg" "27.12." "06.01."
"Hessen" "29.03." "09.04."
"Hessen" "18.07." "26.08."
"Hessen" "17.10." "29.10."
"Hessen" "22.12." "07.01."
"Mecklenburg-Vorpommern" "01.02." "13.02."
"Mecklenburg-Vorpommern" "21.03." "30.03."
"Mecklenburg-Vorpommern" "14.05." "17.05."
"Mecklenburg-Vorpommern" "25.07." "03.09."
"Mecklenburg-Vorpommern" "24.10." "28.10."
"Mecklenburg-Vorpommern" "22.12." "02.01."
"Niedersachsen" "28.01." "29.01."
"Niedersachsen" "18.03." "02.04."
"Niedersachsen" "23.06." "03.08."
"Niedersachsen" "04.10." "15.10."
"Niedersachsen" "21.12." "06.01."
"Nordrhein-Westfalen" "21.03." "02.04."
"Nordrhein-Westfalen" "17.05." "17.05."
"Nordrhein-Westfalen" "11.07." "23.08."
"Nordrhein-Westfalen" "10.10." "21.10."
"Nordrhein-Westfalen" "23.12." "06.01."
"Rheinland-Pfalz" "18.03." "01.04."
"Rheinland-Pfalz" "18.07." "26.08."
"Rheinland-Pfalz" "10.10." "21.10."
"Rheinland-Pfalz" "22.12." "06.01."
"Saarland" "08.02." "13.02."
"Saarland" "29.03." "09.04."
"Saarland" "18.07." "27.08."
"Saarland" "10.10." "22.10."
"Saarland" "19.12." "31.12."
"Sachsen" "08.02." "20.02."
"Sachsen" "25.03." "02.04."
"Sachsen" "06.05." "06.05."
"Sachsen" "27.06." "05.08."
"Sachsen" "03.10." "15.10."
"Sachsen" "23.12." "02.01."
"Sachsen-Anhalt" "01.02." "10.02."
"Sachsen-Anhalt" "24.03." "24.03."
"Sachsen-Anhalt" "06.05." "14.05."
"Sachsen-Anhalt" "27.06." "10.08."
"Sachsen-Anhalt" "04.10." "15.10."
"Sachsen-Anhalt" "19.12." "02.01."
"Schleswig-Holstein" "24.03." "09.04."
"Schleswig-Holstein" "06.05." "06.05."
"Schleswig-Holstein" "25.07." "03.09."
"Schleswig-Holstein" "17.10." "29.10."
"Schleswig-Holstein" "23.12." "06.01."
"Thüringen" "01.02." "06.02."
"Thüringen" "24.03." "02.04."
"Thüringen" "06.05." "06.05."
"Thüringen" "27.06." "10.08."
"Thüringen" "10.10." "22.10."
"Thüringen" "23.12." "31.12."
