"Bundesland" "Von" "Bis"
"Aargau" "03.04." "19.04."
"Aargau" "18.07." "09.08."
"Aargau" "26.09." "11.10."
"Aargau" "19.12." "03.01."
"Appenzell Ausserrhoden" "24.01." "01.02."
"Appenzell Ausserrhoden" "03.04." "19.04."
"Appenzell Ausserrhoden" "04.07." "09.08."
"Appenzell Ausserrhoden" "04.10." "18.10."
"Appenzell Ausserrhoden" "24.12." "03.01."
"Appenzell Innerrhoden" "13.02." "22.02."
"Appenzell Innerrhoden" "03.04." "19.04."
"Appenzell Innerrhoden" "04.07." "16.08."
"Appenzell Innerrhoden" "03.10." "18.10."
"Appenzell Innerrhoden" "24.12." "03.01."
"Basel-Land" "14.02." "01.03."
"Basel-Land" "28.03." "12.04."
"Basel-Land" "04.07." "16.08."
"Basel-Land" "03.10." "18.10."
"Basel-Land" "24.12." "03.01."
"Basel-Stadt" "14.02." "01.03."
"Basel-Stadt" "02.04." "12.04."
"Basel-Stadt" "04.07." "16.08."
"Basel-Stadt" "03.10." "18.10."
"Basel-Stadt" "24.12." "03.01."
"Glarus" "24.01." "01.02."
"Glarus" "03.04." "19.04."
"Glarus" "27.06." "09.08."
"Glarus" "03.10." "18.10."
"Glarus" "24.12." "10.01."
"Luzern" "07.02." "22.02."
"Luzern" "03.04." "19.04."
"Luzern" "04.07." "16.08."
"Luzern" "26.09." "11.10."
"Luzern" "19.12." "03.01."
"Sankt Gallen" "04.04." "19.04."
"Sankt Gallen" "04.07." "09.08."
"Sankt Gallen" "26.09." "18.10."
"Sankt Gallen" "19.12." "03.01."
"Schaffhausen" "24.01." "08.02."
"Schaffhausen" "11.04." "26.04."
"Schaffhausen" "04.07." "09.08."
"Schaffhausen" "26.09." "18.10."
"Schaffhausen" "24.12." "03.01."
"Solothurn" "31.01." "15.02."
"Solothurn" "03.04." "19.04."
"Solothurn" "04.07." "09.08."
"Solothurn" "26.09." "18.10."
"Solothurn" "25.12." "10.01."
"Thurgau" "24.01." "01.02."
"Thurgau" "03.04." "19.04."
"Thurgau" "04.07." "09.08."
"Thurgau" "03.10." "18.10."
"Thurgau" "24.12." "03.01."
"Uri" "28.02." "08.03."
"Uri" "02.05." "17.05."
"Uri" "04.07." "16.08."
"Uri" "03.10." "18.10."
"Uri" "24.12." "10.01."
"Zürich" "07.02." "22.02."
"Zürich" "18.04." "03.05."
"Zürich" "11.07." "16.08."
"Zürich" "03.10." "18.10."
"Zürich" "19.12." "03.01."
"Zug" "31.01." "15.02."
"Zug" "11.04." "26.04."
"Zug" "04.07." "16.08."
"Zug" "03.10." "18.10."
"Zug" "19.12." "03.01."
