"Bundesland" "Von" "Bis"
"Aargau" "09.04." "24.04."
"Aargau" "16.07." "07.08."
"Aargau" "01.10." "16.10."
"Aargau" "23.12." "08.01."
"Appenzell Ausserrhoden" "30.01." "07.02."
"Appenzell Ausserrhoden" "09.04." "24.04."
"Appenzell Ausserrhoden" "09.07." "14.08."
"Appenzell Ausserrhoden" "08.10." "23.10."
"Appenzell Ausserrhoden" "24.12." "03.01."
"Appenzell Innerrhoden" "05.02." "14.02."
"Appenzell Innerrhoden" "02.04." "17.04."
"Appenzell Innerrhoden" "02.07." "15.08."
"Appenzell Innerrhoden" "08.10." "23.10."
"Appenzell Innerrhoden" "24.12." "08.01."
"Basel-Land" "06.02." "21.02."
"Basel-Land" "19.03." "03.04."
"Basel-Land" "02.07." "14.08."
"Basel-Land" "01.10." "16.10."
"Basel-Land" "24.12." "02.01."
"Basel-Stadt" "06.02." "21.02."
"Basel-Stadt" "24.03." "02.04."
"Basel-Stadt" "02.07." "14.08."
"Basel-Stadt" "01.10." "16.10."
"Basel-Stadt" "24.12." "03.01."
"Glarus" "30.01." "07.02."
"Glarus" "07.04." "24.04."
"Glarus" "02.07." "14.08."
"Glarus" "08.10." "23.10."
"Glarus" "24.12." "08.01."
"Luzern" "30.01." "14.02."
"Luzern" "25.03." "10.04."
"Luzern" "09.07." "21.08."
"Luzern" "01.10." "16.10."
"Luzern" "24.12." "08.01."
"Sankt Gallen" "10.04." "24.04."
"Sankt Gallen" "10.07." "14.08."
"Sankt Gallen" "02.10." "23.10."
"Sankt Gallen" "25.12." "08.01."
"Schaffhausen" "30.01." "14.02."
"Schaffhausen" "16.04." "01.05."
"Schaffhausen" "09.07." "14.08."
"Schaffhausen" "01.10." "23.10."
"Schaffhausen" "24.12." "02.01."
"Solothurn" "08.02." "19.02."
"Solothurn" "11.04." "22.04."
"Solothurn" "11.07." "12.08."
"Solothurn" "03.10." "21.10."
"Solothurn" "26.12." "06.01."
"Thurgau" "30.01." "07.02."
"Thurgau" "25.03." "10.04."
"Thurgau" "09.07." "14.08."
"Thurgau" "08.10." "23.10."
"Thurgau" "24.12." "02.01."
"Uri" "27.02." "06.03."
"Uri" "23.04." "08.05."
"Uri" "02.07." "15.08."
"Uri" "08.10." "23.10."
"Uri" "24.12." "08.01."
"Zürich" "13.02." "28.02."
"Zürich" "23.04." "08.05."
"Zürich" "16.07." "21.08."
"Zürich" "08.10." "23.10."
"Zürich" "24.12." "07.01."
"Zug" "06.02." "21.02."
"Zug" "16.04." "01.05."
"Zug" "09.07." "21.08."
"Zug" "08.10." "23.10."
"Zug" "22.12." "04.01."
